id,cod,start,yearstart,fin,yearfin,dur_months,words,ctte
1112,2011/0242(COD),16/09/2011,2011,22/10/2013,2013,25,4417,19
1113,2011/0243(COD),23/09/2011,2011,13/06/2012,2012,9,4185,13
1114,2011/0260(COD),30/09/2011,2011,21/05/2013,2013,20,1766,5
1115,2011/0262(COD),03/10/2011,2011,15/01/2013,2013,15,4566,5
1116,2011/0263(COD),03/10/2011,2011,15/01/2013,2013,15,4700,5
1117,2011/0268(COD),06/10/2011,2011,17/12/2013,2013,26,6750,9
1118,2011/0269(COD),06/10/2011,2011,17/12/2013,2013,26,11007,9
1119,2011/0270(COD),06/10/2011,2011,11/12/2013,2013,26,7911,9
1120,2011/0272(COD),06/10/2011,2011,17/12/2013,2013,26,6908,14
1121,2011/0273(COD),06/10/2011,2011,17/12/2013,2013,26,11385,14
1122,2011/0274(COD),06/10/2011,2011,17/12/2013,2013,26,2815,14
1123,2011/0275(COD),06/10/2011,2011,17/12/2013,2013,26,5624,14
1124,2011/0276(COD),06/10/2011,2011,17/12/2013,2013,26,44763,14
1125,2011/0280(COD),12/10/2011,2011,17/12/2013,2013,26,21939,15
1126,2011/0281(COD),12/10/2011,2011,17/12/2013,2013,26,45391,15
1127,2011/0282(COD),12/10/2011,2011,17/12/2013,2013,26,32085,15
1128,2011/0283(COD),12/10/2011,2011,22/05/2012,2012,7,3547,14
1129,2011/0285(COD),12/10/2011,2011,25/10/2012,2012,12,3429,15
1130,2011/0286(COD),12/10/2011,2011,11/07/2012,2012,9,4172,15
1131,2011/0288(COD),12/10/2011,2011,17/12/2013,2013,26,32924,15
1132,2011/0294(COD),19/10/2011,2011,11/12/2013,2013,26,14530,13
1133,2011/0295(COD),20/10/2011,2011,16/04/2014,2014,30,21194,8
1134,2011/0296(COD),20/10/2011,2011,15/05/2014,2014,31,25078,8
1135,2011/0297(COD),20/10/2011,2011,16/04/2014,2014,30,4580,8
1136,2011/0298(COD),20/10/2011,2011,15/05/2014,2014,31,65152,8
1137,2011/0299(COD),19/10/2011,2011,11/03/2014,2014,29,5405,11
1138,2011/0300(COD),19/10/2011,2011,17/04/2013,2013,18,12930,11
1139,2011/0301(COD),19/10/2011,2011,11/07/2012,2012,9,5280,6
1140,2011/0302(COD),19/10/2011,2011,11/12/2013,2013,26,14752,13
1141,2011/0307(COD),25/10/2011,2011,22/10/2013,2013,24,9029,24
1142,2011/0308(COD),25/10/2011,2011,26/06/2013,2013,20,25552,24
1143,2011/0309(COD),27/10/2011,2011,12/06/2013,2013,20,14995,11
1144,2011/0310(COD),07/11/2011,2011,16/04/2014,2014,29,2389,5
1145,2011/0315(COD),09/11/2011,2011,13/06/2012,2012,7,575,5
1146,2011/0339(COD),09/11/2011,2011,11/03/2014,2014,28,9569,10
1147,2011/0340(COD),09/11/2011,2011,26/02/2014,2014,27,6903,12
1148,2011/0341A(COD),09/11/2011,2011,11/12/2013,2013,25,8489,12
1149,2011/0341B(COD),09/11/2011,2011,11/12/2013,2013,25,8489,8
1150,2011/0344(COD),15/11/2011,2011,17/12/2013,2013,25,6067,19
1151,2011/0349(COD),21/11/2011,2011,26/02/2014,2014,27,17901,12
1152,2011/0350(COD),21/11/2011,2011,26/02/2014,2014,27,17647,12
1153,2011/0351(COD),21/11/2011,2011,26/02/2014,2014,27,15925,12
1154,2011/0352(COD),21/11/2011,2011,26/02/2014,2014,27,15559,12
1155,2011/0353(COD),21/11/2011,2011,26/02/2014,2014,27,20700,12
1156,2011/0354(COD),21/11/2011,2011,26/02/2014,2014,27,19895,12
1157,2011/0356(COD),21/11/2011,2011,26/02/2014,2014,27,18000,12
1158,2011/0357(COD),21/11/2011,2011,26/02/2014,2014,27,10954,12
1159,2011/0358(COD),21/11/2011,2011,26/02/2014,2014,27,18496,12
1160,2011/0359(COD),30/11/2011,2011,16/04/2014,2014,29,32340,24
1161,2011/0360(COD),15/11/2011,2011,21/05/2013,2013,18,3055,8
1162,2011/0361(COD),15/11/2011,2011,21/05/2013,2013,18,15591,8
1163,2011/0364(COD),21/11/2011,2011,12/06/2013,2013,19,1497,16
1164,2011/0365(COD),15/11/2011,2011,16/04/2014,2014,29,12119,19
1165,2011/0366(COD),15/11/2011,2011,16/04/2014,2014,29,12894,19
1166,2011/0367(COD),15/11/2011,2011,16/04/2014,2014,29,17789,19
1167,2011/0368(COD),15/11/2011,2011,16/04/2014,2014,29,8522,19
1168,2011/0369(COD),15/11/2011,2011,17/12/2013,2013,25,5679,19
1169,2011/0370(COD),23/11/2011,2011,11/12/2013,2013,25,8292,17
